tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,30s,170,51122,4027898.0,46665799.85246225,-22057441.150185455,68723241.00264771
101-1000,midday,30s,171,50794,4106277.0,56913039.99945001,-31188404.20435817,88101444.20380823
101-1000,midday,30s,172,51299,4046744.0,41686722.236633696,-29563634.33068998,71250356.56732368
101-1000,midday,30s,173,47317,3906093.0,39634460.308039494,-15214407.339826081,54848867.64786557
101-1000,midday,30s,174,50327,3837403.0,36398553.86926369,-21816121.71376271,58214675.58302641
101-1000,midday,30s,175,46174,3636568.0,36540883.06558204,-17300938.762666337,53841821.82824838
101-1000,midday,30s,176,49453,4538534.0,51149152.74050342,-27135062.603241976,78284215.34374538
101-1000,midday,30s,177,51503,4811277.0,57657738.159069784,-6304836.604494174,63962574.763563946
101-1000,midday,30s,178,46984,3860983.0,34865021.380491704,-19343139.459800236,54208160.84029194
101-1000,midday,30s,179,54929,4912802.0,60877332.922683924,-15078542.640863487,75955875.5635474
101-1000,midday,30s,180,60144,5262324.0,64342406.73858324,-22435889.27485479,86778296.01343803
101-1000,midday,30s,181,64253,5463735.0,58882293.02320028,-39165732.85871316,98048025.88191347
101-1000,midday,30s,182,61240,5163279.0,65192339.66615203,-1410524.1992249335,66602863.865376964
101-1000,midday,30s,183,67695,5800408.0,58295567.84450833,-16206402.764060093,74501970.60856843
101-1000,midday,30s,184,68639,5635566.0,55099120.62635442,-25795057.13297934,80894177.75933377
101-1000,midday,30s,185,75271,6420019.0,66534636.59518828,-31588772.630895596,98123409.22608386
101-1000,midday,5s,120,109156,9806967.0,133004362.59119181,-50177693.37727722,183182055.96846905
101-1000,midday,5s,121,105783,9714362.0,141462255.81901196,-98406918.95028716,239869174.76929918
101-1000,midday,5s,122,94792,8733259.0,139462731.82670748,-75337742.38236316,214800474.20907053
101-1000,midday,5s,123,89408,7869034.0,90439243.4561552,-75753078.4678754,166192321.9240306
101-1000,midday,5s,124,85361,6985227.0,87470875.10650529,-44628747.0642403,132099622.17074561
101-1000,midday,5s,125,93812,8297881.0,97033588.89381841,-53684232.38692382,150717821.28074226
101-1000,midday,5s,126,84214,7216809.0,89139982.30264536,-68290032.86011851,157430015.16276386
101-1000,midday,5s,127,80529,6744802.0,77574922.53093822,-36025015.24209196,113599937.77303016
101-1000,midday,5s,128,77322,6959444.0,85747961.87394488,-43242971.052335344,128990932.92628023
101-1000,midday,5s,129,71621,5866287.0,83926471.0897897,-22744054.566520955,106670525.65631069
101-1000,midday,5s,130,77281,6665347.0,86570085.94453639,-63021297.1269338,149591383.0714702
101-1000,midday,5s,131,79268,7019111.0,488570572.9847495,58572593.92810913,429997979.0566405
101-1000,midday,5s,132,87391,7789148.0,596195824.1008042,302934896.48290706,293260927.61789733
101-1000,midday,5s,133,69610,5964080.0,69266888.34579183,-38830635.91589509,108097524.26168692
101-1000,midday,5s,134,70261,5719860.0,62809260.83058595,-20537259.125305284,83346519.95589125
101-1000,midday,5s,135,64619,5305102.0,68042102.1353852,-42284299.27729719,110326401.41268241
101-1000,midday,5s,136,69599,6089907.0,67484354.90755968,-44118333.31817009,111602688.22572978
101-1000,midday,5s,137,74038,6544717.0,67775238.44584772,-46901920.21981924,114677158.66566697
101-1000,midday,5s,138,66884,5700214.0,57465855.71386358,-26150166.140970428,83616021.85483402
101-1000,midday,5s,139,64685,5779192.0,66312786.42479222,-24408280.16265632,90721066.58744852
101-1000,midday,5s,140,56509,4697759.0,48468229.63796437,-30843455.526376996,79311685.16434136
101-1000,midday,5s,141,53160,4623049.0,50466474.27442896,-26654123.113342393,77120597.38777134
